ID,FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8321841,1,46,43,NA,0,NA,NA,400,0
8321842,1,288,144,144,0,144,1,1,0
8321843,0,296,134,NA,0,NA,NA,1,0
8321844,1,94,65,NA,1,NA,NA,400,0
8321845,1,14,NA,NA,NA,NA,NA,NA,0
8321846,0,335,88,63,0,63,0,1,0
8321847,0,131,NA,NA,NA,NA,NA,NA,0
8321848,0,294,265,23,1,37,2,1,0
8321849,0,206,121,99,0,99,1,1,0
8321850,0,136,134,NA,1,NA,NA,400,0
8321851,1,113,93,93,2,93,1,1,0
8321852,0,68,61,18,0,23,1,60,0
8321853,0,119,96,NA,0,NA,NA,1,0
8321854,0,209,99,NA,2,NA,NA,1,0
8321855,0,353,126,26,0,26,0,1,0
8321856,1,83,75,65,1,65,0,400,0
8321857,1,266,85,49,0,67,1,1,0
8321858,1,1,1,NA,0,NA,NA,1,0
8321859,0,159,NA,NA,1,NA,NA,NA,0
8321860,0,211,NA,NA,NA,NA,NA,NA,0
8321861,0,257,48,48,0,48,1,400,0
8321862,0,246,227,69,1,113,4,1,0
8321863,0,281,249,2,1,69,3,1,0
8321864,1,128,125,NA,0,NA,NA,400,0
8321865,1,205,156,34,2,90,2,400,0
8321866,1,164,131,83,1,107,1,400,1
8321867,0,28,30,NA,1,NA,NA,1,1
8321868,0,309,284,76,0,97,1,1,0
8321869,0,162,143,10,0,47,1,400,0
8321870,0,110,35,NA,0,NA,NA,120,0
8321871,0,297,124,31,3,79,2,400,0
8321872,1,151,140,18,6,18,0,120,0
8321873,0,349,381,89,0,116,1,1,0
8321874,0,208,149,56,0,98,4,60,0
8321875,1,9,NA,NA,0,NA,NA,NA,0
8321876,0,203,184,51,0,51,0,1,0
8321877,1,321,182,7,0,76,4,400,0
8321878,0,157,NA,NA,NA,NA,NA,NA,0
8321879,0,200,102,95,0,95,0,1,1
8321880,0,287,110,110,0,110,0,1,0
8321881,1,324,95,95,0,95,0,1,0
8321882,0,260,122,31,0,79,4,400,0
8321883,0,245,105,NA,2,NA,NA,400,0
8321884,0,320,133,99,2,99,0,30,0
8321885,0,213,112,NA,0,NA,NA,400,0
8321886,0,251,4,NA,0,NA,NA,1,0
8321887,1,173,91,NA,0,NA,NA,400,0
8321888,0,382,124,NA,0,NA,NA,400,0
8321889,1,219,122,24,0,62,3,400,1
8321890,1,169,169,169,0,169,1,1,0
8321891,0,180,3,NA,1,NA,NA,1,0
8321892,0,227,132,NA,0,NA,NA,30,0
8321893,1,271,NA,NA,0,NA,NA,1,0
8321894,0,155,137,30,1,30,1,400,0
8321895,0,162,153,142,0,142,1,1,0
8321896,0,147,88,54,0,60,1,1,0
8321897,1,42,32,NA,0,NA,NA,400,0
8321898,1,240,119,21,1,21,0,400,0
8321899,0,237,205,117,1,117,0,400,0
8321900,1,341,109,41,0,41,0,30,0
8321901,1,200,209,33,0,95,1,400,0
8321902,1,276,225,129,0,129,1,400,0
8321903,0,291,47,36,2,36,0,400,0
8321904,0,291,89,89,0,89,0,400,0
8321905,0,78,73,NA,0,NA,NA,400,0
8321906,0,239,108,22,0,39,0,400,0
8321907,0,310,321,95,1,137,1,400,0
8321908,1,34,34,NA,1,NA,NA,120,0
8321909,0,195,151,54,0,93,2,1,0
8321910,1,308,285,141,0,141,1,1,0
8321911,1,379,227,104,2,104,0,30,0
8321912,0,147,145,NA,0,NA,NA,1,0
8321913,1,228,55,33,1,39,1,400,1
8321914,0,331,136,4,0,68,3,1,0
8321915,0,88,84,36,0,44,0,120,0
8321916,0,372,NA,NA,NA,NA,NA,NA,0
8321917,1,189,71,NA,0,NA,NA,400,0
8321918,1,138,91,68,0,68,0,400,0
8321919,0,166,86,NA,0,NA,NA,400,0
8321920,0,398,205,NA,0,NA,NA,1,0
8321921,1,268,269,73,0,108,1,1,0
8321922,0,151,128,25,0,48,5,400,0
8321923,0,169,136,NA,0,NA,NA,1,0
8321924,1,NA,NA,NA,NA,NA,NA,NA,0
8321925,1,184,83,83,0,83,0,400,0
8321926,1,98,80,52,0,66,0,400,0
8321927,0,144,68,NA,0,NA,NA,400,0
8321928,0,22,NA,NA,0,NA,NA,NA,0
8321929,0,110,36,36,0,36,1,1,0
8321930,1,342,112,74,0,93,0,400,0
8321931,1,122,34,NA,1,NA,NA,60,0
8321932,0,23,18,NA,0,NA,NA,1,0
8321933,0,94,61,53,0,53,1,1,0
8321934,1,361,302,26,0,42,0,400,0
8321935,1,47,21,21,1,21,0,1,0
8321936,0,397,145,70,2,106,0,1,0
8321937,0,185,146,25,1,73,2,30,0
8321938,0,350,272,NA,0,NA,NA,1,0
8321939,1,222,210,5,1,72,3,1,0
8321940,0,192,191,11,0,89,2,1,0
8321941,1,155,64,50,0,57,2,1,0
8321942,0,116,87,NA,0,NA,NA,1,0
8321943,1,202,89,27,0,65,1,400,0
8321944,1,239,98,32,2,32,0,60,0
8321945,0,12,0,NA,0,NA,NA,1,0
8321946,1,190,170,39,1,67,1,400,0
8321947,1,179,87,NA,0,NA,NA,120,0
8321948,1,274,131,95,0,95,0,400,1
8321949,0,125,115,81,0,81,0,400,0
8321950,1,377,159,121,0,122,1,1,0
8321951,0,372,170,NA,0,NA,NA,400,0
8321952,0,142,67,67,0,67,0,400,0
8321953,0,113,55,NA,0,NA,NA,1,0
8321954,1,137,112,18,2,18,0,400,0
8321955,1,133,135,NA,0,NA,NA,1,0
8321956,0,191,186,8,1,19,1,400,0
8321957,1,322,NA,NA,NA,NA,NA,NA,0
8321958,0,340,92,NA,0,NA,NA,400,0
8321959,1,23,NA,NA,1,NA,NA,NA,0
8321960,0,334,218,31,3,100,2,400,0
8321961,0,273,147,26,0,35,2,1,0
8321962,0,46,45,NA,0,NA,NA,1,0
8321963,0,181,78,21,1,41,2,400,0
8321964,0,305,126,NA,0,NA,NA,1,0
8321965,0,251,34,NA,2,NA,NA,400,0
8321966,0,358,NA,NA,NA,NA,NA,NA,0
8321967,0,326,454,39,0,68,0,1,0
8321968,0,165,110,NA,0,NA,NA,1,0
8321969,1,169,69,NA,1,NA,NA,400,0
8321970,0,204,122,28,0,32,1,400,0
8321971,0,208,50,NA,0,NA,NA,1,0
8321972,1,188,62,NA,0,NA,NA,400,0
8321973,0,282,213,99,0,116,1,1,0
8321974,0,202,162,NA,0,NA,NA,1,0
8321975,1,290,110,32,0,74,2,1,0
8321976,1,305,99,99,0,99,0,1,0
8321977,0,117,82,22,0,22,1,400,0
8321978,0,210,NA,NA,0,NA,NA,NA,0
8321979,0,301,207,NA,0,NA,NA,1,0
8321980,0,283,90,NA,0,NA,NA,1,0
8321981,0,184,185,NA,1,NA,NA,1,0
8321982,1,263,121,32,0,74,1,400,0
8321983,1,291,140,NA,1,NA,NA,400,0
8321984,0,208,109,109,0,109,1,400,0
8321985,1,185,183,100,0,100,0,400,0
8321986,1,282,121,5,0,31,1,400,0
8321987,0,145,88,25,1,39,1,400,0
8321988,0,147,109,97,0,97,0,1,0
8321989,1,289,43,NA,0,NA,NA,400,0
8321990,0,373,53,39,0,39,1,400,0
8321991,1,56,27,8,0,11,1,400,0
8321992,0,292,161,125,0,125,1,1,0
8321993,0,169,151,124,0,124,0,1,0
8321994,1,151,147,NA,0,NA,NA,400,0
8321995,1,61,56,NA,1,NA,NA,400,0
8321996,0,293,136,58,0,84,2,1,0
8321997,0,317,77,64,1,64,0,1,0
8321998,1,137,122,56,0,87,1,1,0
8321999,1,56,6,6,0,6,1,1,0
8322000,0,154,127,NA,0,NA,NA,120,0
8322001,0,382,102,27,1,72,1,30,0
8322002,0,150,120,55,0,65,1,400,0
8322003,0,238,73,NA,0,NA,NA,90,0
8322004,0,7,1,NA,0,NA,NA,1,0
8322005,1,12,12,NA,0,NA,NA,1,0
8322006,0,187,148,NA,1,NA,NA,400,0
8322007,0,265,93,37,2,65,1,400,0
8322008,1,213,74,74,0,74,0,400,0
8322009,1,303,164,57,1,79,1,400,0
8322010,1,357,124,84,0,84,0,400,0
8322011,0,278,132,7,1,55,1,400,0
8322012,1,174,174,5,0,43,8,1,0
8322013,0,93,84,15,0,52,1,400,1
8322014,1,90,82,NA,0,NA,NA,1,0
8322015,1,310,126,28,0,67,1,400,0
8322016,0,192,98,NA,1,NA,NA,400,0
8322017,0,336,NA,NA,NA,NA,NA,NA,0
8322018,1,137,161,9,1,36,4,1,0
8322019,0,272,89,23,0,56,0,400,0
8322020,1,113,73,15,0,38,2,400,0
8322021,1,153,NA,NA,0,NA,NA,NA,0
8322022,0,382,172,148,0,153,2,1,0
8322023,0,167,136,NA,0,NA,NA,400,0
8322024,1,174,144,47,0,47,1,120,0
8322025,0,190,181,NA,1,NA,NA,400,0
8322026,1,102,76,50,0,50,1,1,0
8322027,0,309,205,16,0,73,4,400,0
8322028,1,382,214,12,0,20,0,60,0
8322029,0,122,124,NA,0,NA,NA,400,0
8322030,1,134,71,NA,0,NA,NA,400,0
8322031,0,211,92,NA,0,NA,NA,400,0
8322032,0,242,296,117,0,117,1,400,0
8322033,1,285,248,88,1,116,2,1,0
8322034,0,111,93,12,1,42,2,1,0
8322035,0,9,8,NA,0,NA,NA,1,0
8322036,0,288,80,NA,0,NA,NA,400,0
8322037,1,352,97,NA,1,NA,NA,30,0
8322038,1,252,33,NA,0,NA,NA,1,0
8322039,0,155,136,NA,2,NA,NA,400,0
8322040,1,20,18,NA,0,NA,NA,1,0
8322041,0,282,220,75,1,89,0,1,0
8322042,0,83,NA,NA,0,NA,NA,NA,0
8322043,0,35,19,NA,0,NA,NA,1,0
8322044,0,327,155,NA,0,NA,NA,1,0
8322045,0,338,121,66,0,86,2,60,0
8322046,0,178,162,73,0,90,0,1,0
8322047,0,57,NA,NA,NA,NA,NA,NA,0
8322048,1,154,26,2,2,8,2,1,0
8322049,1,174,151,75,0,86,0,400,0
8322050,1,87,77,68,0,68,0,400,0
8322051,1,342,31,NA,0,NA,NA,30,0
8322052,1,122,92,NA,0,NA,NA,400,1
8322053,0,210,72,72,0,72,0,1,0
8322054,1,88,76,34,0,44,1,400,0
8322055,1,72,65,NA,0,NA,NA,30,0
8322056,0,12,9,NA,0,NA,NA,1,1
8322057,0,271,242,14,0,154,2,400,0
8322058,0,132,108,NA,0,NA,NA,1,0
8322059,1,150,78,NA,0,NA,NA,1,0
8322060,0,160,116,10,0,65,2,1,0
8322061,0,148,126,40,0,47,2,400,0
8322062,0,NA,NA,NA,NA,NA,NA,NA,NA
8322063,0,324,265,13,0,65,3,400,0
8322064,0,341,100,6,1,6,1,400,0
8322065,0,81,56,NA,0,NA,NA,60,1
8322066,0,127,125,64,0,64,1,400,0
8322067,0,98,87,NA,0,NA,NA,1,0
8322068,1,195,14,14,0,14,1,1,0
8322069,0,300,235,NA,0,NA,NA,1,1
8322070,0,375,149,NA,1,NA,NA,1,0
8322071,0,289,151,NA,0,NA,NA,120,0
8322072,1,17,17,NA,0,NA,NA,1,0
8322073,0,335,112,82,0,82,1,30,0
8322074,1,378,NA,NA,0,NA,NA,NA,0
8322075,0,308,198,4,0,4,1,1,0
8322076,0,169,158,57,0,57,0,400,0
8322077,0,207,17,NA,0,NA,NA,1,1
8322078,0,277,57,NA,2,NA,NA,400,0
8322079,0,216,206,NA,0,NA,NA,1,0
8322080,1,278,168,34,0,90,1,400,0
8322081,1,329,318,53,0,67,0,400,0
8322082,0,252,94,NA,0,NA,NA,1,0
8322083,0,331,279,NA,0,NA,NA,1,0
8322084,0,302,129,NA,0,NA,NA,400,0
8322085,0,161,139,44,0,104,4,400,0
8322086,0,229,215,96,0,96,0,1,0
8322087,0,44,36,NA,2,NA,NA,400,0
8322088,1,171,151,NA,0,NA,NA,400,0
8322089,0,312,122,70,0,70,0,400,0
8322090,0,162,178,6,2,68,5,1,0
8322091,0,265,175,23,0,67,1,400,0
8322092,0,367,109,38,1,68,0,400,0
8322093,0,66,59,33,0,33,1,400,0
8322094,0,NA,NA,NA,NA,NA,NA,NA,NA
8322095,0,283,183,21,1,42,3,400,0
8322096,0,298,85,82,1,82,0,30,0
8322097,0,375,148,NA,0,NA,NA,1,0
8322098,0,376,126,75,0,108,1,1,0
8322099,0,10,NA,NA,0,NA,NA,NA,0
8322100,1,246,226,18,0,63,0,90,0
8322101,0,62,37,NA,0,NA,NA,120,0
8322102,1,82,76,NA,0,NA,NA,400,0
8322103,0,262,157,NA,0,NA,NA,30,0
8322104,1,226,144,18,1,45,1,400,0
8322105,0,59,41,11,0,11,1,1,0
8322106,0,183,NA,NA,0,NA,NA,NA,0
8322107,1,197,155,49,2,67,2,400,0
8322108,0,164,86,39,1,65,2,90,1
8322109,0,310,93,27,0,65,1,400,0
8322110,1,124,29,NA,0,NA,NA,1,0
8322111,0,152,138,NA,0,NA,NA,400,0
8322112,0,134,134,4,1,4,1,1,0
8322113,0,1,NA,NA,0,NA,NA,NA,0
8322114,0,58,21,16,0,16,1,1,0
8322115,1,357,110,48,0,48,1,60,1
8322116,0,62,15,15,0,15,0,400,0
8322117,0,375,NA,NA,0,NA,NA,NA,0
8322118,1,293,183,17,2,76,1,400,0
8322119,1,116,NA,NA,0,NA,NA,1,0
8322120,0,NA,8,NA,0,NA,NA,1,NA
8322121,1,212,159,33,1,90,2,400,0
8322122,0,351,325,21,1,84,3,30,0
8322123,0,128,NA,NA,0,NA,NA,NA,0
8322124,1,48,32,NA,5,NA,NA,400,0
8322125,1,12,NA,NA,0,NA,NA,NA,0
8322126,0,303,313,33,0,39,1,1,0
8322127,0,368,218,31,0,112,2,400,0
8322128,0,61,56,24,1,30,1,400,0
8322129,1,161,130,14,1,50,2,400,1
8322130,1,400,286,132,0,132,2,1,0
8322131,1,234,241,NA,0,NA,NA,400,0
8322132,0,300,135,4,0,64,7,60,0
8322133,1,258,218,NA,1,NA,NA,1,0
8322134,0,275,96,7,0,55,2,400,0
8322135,0,122,111,81,0,81,0,400,0
8322136,1,268,154,NA,2,NA,NA,60,0
8322137,1,130,130,24,0,80,2,400,0
8322138,0,351,331,20,0,69,2,400,0
8322139,0,300,160,109,0,109,0,400,0
8322140,0,252,94,6,0,50,1,1,0
8322141,0,4,NA,NA,NA,NA,NA,NA,0
8322142,0,261,128,30,0,49,0,400,0
8322143,0,260,177,61,0,61,0,400,0
8322144,0,177,173,NA,0,NA,NA,120,0
8322145,0,353,187,6,1,56,0,400,0
8322146,0,12,NA,NA,0,NA,NA,NA,0
